Code,Name
ABR,Aberdeen Regional Airport
ABI,Abilene Regional Airport
SPI,Abraham Lincoln Capital Airport
ADK,Adak Airport
SLK,Adirondack Regional Airport
BQN,Aguadilla Airport
CAK,Akron-Canton Airport
AUK,Alakanuk Airport
ALM,Alamogordo-White Sands Regional Airport
ALB,Albany International Airport
ABQ,Albuquerque International Sunport
AEX,Alexandria International Airport
AGC,Allegheny County Airport
BIG,Allen Aaf Airport
AIA,Alliance Municipal Airport
APN,Alpena County Regional Airport
AOO,Altoona-Blair County Airport
AMA,Amarillo International Airport
AFM,Ambler Airport
74S,Anacortes Airport
AKP,Anaktuvuk Pass Airport
ANC,Anchorage International Airport
AID,Anderson Municipal Airport
AND,Anderson Regional Airport
AGN,Angoon Seaplane Base
ANI,Aniak Airport
ANB,Anniston Municipal Airport
ACV,Arcata Airport
LBE,Arnold Palmer Regional Airport
AVL,Asheville Regional Airport
ASE,Aspen-Pitkin County Airport
AST,Astoria Regional Airport
AHN,Athens/Ben Epps Airport
ATL,Atlanta International Airport
ACY,Atlantic City International Airport
AIY,Atlantic City Municipal Airport/Bader Field
ATK,Atqasuk Edward Burnell Sr Memorial Airport
AGS,Augusta Regional Airport
AUG,Augusta State Airport
GRB,Austin Straubel International Airport
AUS,Austin-Bergstrom International Airport
BWI,Baltimore / Washington International Airport
BGR,Bangor International Airport
BAF,Barnes Municipal Airport
HYA,Barnstable Municipal Airport
BTI,Barter Island LRRS Airport
BTR,Baton Rouge International Airport
BDE,Baudette International Airport
BPK,Baxter County Regional Airport
BED,Bedford Hanscom Field
ACB,Bellaire/Antrim County Airport
BLI,Bellingham International Airport
BJI,Bemidji Regional Airport
BTM,Bert Mooney Airport
BET,Bethel Airport
BIL,Billings Logan International Airport
BHM,Birmingham International Airport
FNT,Bishop International Airport
BIS,Bismarck Municipal Airport
BID,Block Island State Airport
LEX,Blue Grass Airport
IAN,Bob Baker Memorial Airport
BFI,Boeing Field/King County International Airport
BOI,Boise Airport
HRO,Boone County Airport
BOS,Boston Logan International Airport
BWG,Bowling Green-Warren County Regional Airport
BZN,Bozeman Gallatin Field Airport
BFD,Bradford Regional Airport
BDL,Bradley International Airport
BRD,Brainerd Lakes Regional Airport
LBX,Brazoria County Airport
PWT,Bremerton National Airport
BKX,Brookings Municipal Airport
BRO,Brownsville/South Padre Island International Airport
BQK,Brunswick Golden Isles Airport
BCE,Bryce Canyon Airport
CCR,Buchanan Field Airport
BVK,Buckland Airport
BUF,Buffalo Niagara International Airport
BUR,Burbank Bob Hope Airport
BKL,Burke Lakefront Airport
BTV,Burlington International Airport
IAH,Bush Intercontinental Airport
CNY,Canyonlands Field
CGI,Cape Girardeau Regional Airport
WWD,Cape May County Airport
PCW,Carl R Keller Field
CNM,Cavern City Air Terminal
VQQ,Cecil Field Airport
CDC,Cedar City Regional Airport
CID,Cedar Rapids Eastern Iowa Airport
BMI,Central Illinois Regional Airport
GRI,Central Nebraska Regional Airport
CWA,Central Wisconsin Airport
CMI,Champaign Willard Airport
YKN,Chan Gurney Municipal Airport
AXN,Chandler Field Airport
MKC,Charles B. Wheeler Downtown Airport
CHS,Charleston International Airport
CRW,Charleston Yeager Airport
CVX,Charlevoix Municipal Airport
PGD,Charlotte County Airport
CLT,Charlotte/Douglas International Airport
CHO,Charlottesville-Albemarle Airport
CHA,Chattanooga Metropolitan Airport
JHW,Chautauqua County/Jamestown Airport
CFK,Chefornak Airport
TVC,Cherry Capital Airport
VAK,Chevak Airport
CYS,Cheyenne Regional Airport
MDW,Chicago Midway Airport
ORD,Chicago O'hare International Airport
CIC,Chico Municipal Airport
CIU,Chippewa County International Airport
EAU,Chippewa Valley Regional Airport
HIB,Chisholm-Hibbing Airport
LUK,Cincinnati Municipal Airport Lunken Field
CVG,Cincinnati / Northern Kentucky International Airport
CLE,Cleveland Hopkins International Airport
PLB,Clinton County Airport
CWI,Clinton Municipal Airport
COE,Coeur D'alene Airport
CDB,Cold Bay Airport
MTO,Coles County Memorial Airport
COS,Colorado Springs Airport
CAE,Columbia Metropolitan Airport
COU,Columbia Regional Airport
CSG,Columbus Metropolitan Airport
BAK,Columbus Municipal Airport
CDV,Cordova Municipal Airport
CRP,Corpus Christi International Airport
CEZ,Cortez Municipal Airport
CVO,Corvallis Municipal Airport
CGA,Craig Airport
EWN,Craven County Regional Airport
CPX,Culebra Airport
CGF,Cuyahoga County Airport
STT,Cyril E King Airport
DAL,Dallas Love Field
DFW,Dallas/Fort Worth International Airport
DXR,Danbury Municipal Airport
MSN,Dane County Regional Airport
DAN,Danville Regional Airport
MQI,Dare County Regional Airport
DAY,Dayton International Airport
DAB,Daytona Beach International Airport
SCC,Deadhorse Airport
DEC,Decatur Airport
DVT,Deer Valley Municipal Airport
DRT,Del Rio International Airport
MIE,Delaware County Airport
ESC,Delta County Airport
DEN,Denver International Airport
DSM,Des Moines International Airport
DET,Detroit City Airport
DTW,Detroit Metro Airport
DVL,Devils Lake Municipal Airport
DIK,Dickinson - Theodore Roosevelt Regional Airport
X95,Diego Jimenez Torres Airport
DLG,Dillingham Airport
DDC,Dodge City Regional Airport
GYH,Donaldson Center Airport
DHN,Dothan Regional Airport
JRB,Downtown Manhattan Heliport
FYV,Drake Field
TPL,Draughon-Miller Central Texas Regional Airport
DUJ,Du Bois-Jefferson County Airport
DBQ,Dubuque Regional Airport
DLH,Duluth International Airport
DRO,Durango-La Plata County Airport
POU,Dutchess County Airport
EGE,Eagle County Regional Airport
GGG,East Texas Regional Airport
PDT,Eastern Oregon Regional Airport At Pendleton
CLL,Easterwood Airport
MPV,Edward F. Knapp State Airport
GAL,Edward G. Pitka Sr Airport
EEK,Eek Airport
ELP,El Paso International Airport
ELI,Elim Airport
EKM,Elkhart Municipal Airport
EKO,Elko Regional Airport
EFD,Ellington Field
ELM,Elmira / Corning Regional Airport
ELY,Ely Airport
ELO,Ely Municipal Airport
ENM,Emmonak Airport
KEB,English Bay Airport
OMA,Eppley Airfield
ERI,Erie International Airport
PRC,Ernest A. Love Field Airport
